iter	Passed	Remaining
475	731	805
476	734	805
477	736	804
478	737	802
479	739	800
480	740	799
481	742	797
482	743	795
483	745	794
484	746	792
485	747	790
486	750	790
487	751	788
488	753	787
489	754	785
490	756	783
491	757	782
492	758	780
493	760	778
494	761	776
495	762	774
496	764	774
497	766	772
498	767	770
499	768	768
500	770	767
501	771	765
502	772	763
503	774	761
504	775	760
505	776	758
506	779	758
507	780	756
508	782	754
509	783	752
510	784	751
511	786	749
512	787	747
513	788	745
514	790	744
515	791	742
516	793	740
517	795	739
518	796	738
519	798	736
520	799	735
521	801	733
522	803	732
523	804	731
524	806	729
525	808	728
526	810	727
527	811	725
528	813	723
529	814	722
530	815	720
531	816	718
532	818	716
533	819	715
534	820	713
535	822	711
536	824	711
537	826	709
538	827	707
539	828	705
540	829	704
541	831	702
542	832	700
543	833	698
544	835	697
545	836	695
546	838	694
547	840	692
548	841	691
549	842	689
550	844	687
551	845	686
552	846	684
553	847	682
554	849	680
555	850	678
556	851	677
557	853	675
558	854	674
559	856	672
560	857	670
561	858	669
562	859	667
563	860	665
564	862	663
565	863	662
566	864	660
567	865	658
568	867	657
569	869	656
570	871	654
571	873	653
572	875	652
573	877	650
574	878	649
575	880	648
576	884	648
577	887	647
578	889	646
579	892	646
580	894	645
581	897	644
582	899	643
583	903	643
584	905	642
585	908	641
586	910	640
587	912	639
588	914	638
589	917	637
590	920	637
591	922	635
592	927	636
593	928	634
594	931	633
595	933	632
596	935	631
597	937	630
598	940	629
599	942	628
600	943	626
601	945	624
602	946	623
603	947	621
604	949	619
605	950	618
606	951	616
607	953	614
608	956	613
609	957	612
610	958	610
611	960	608
612	961	607
613	962	605
614	964	603
615	965	601
616	966	600
617	968	598
618	970	597
619	972	595
620	973	594
621	974	592
622	976	590
623	977	588
624	978	587
625	980	585
626	981	583
627	982	582
628	983	580
629	986	579
630	987	577
631	989	575
632	990	574
633	992	572
634	995	572
635	996	570
636	998	568
637	1000	567
638	1002	566
639	1003	564
640	1004	562
641	1006	561
642	1007	559
643	1008	557
644	1010	556
645	1011	554
646	1012	552
647	1015	551
648	1016	549
649	1017	548
650	1019	546
651	1020	544
652	1021	542
653	1023	541
654	1024	539
655	1025	537
656	1026	536
657	1028	534
658	1030	533
659	1031	531
660	1033	529
661	1034	528
662	1036	526
663	1037	525
664	1039	523
665	1041	522
666	1042	520
667	1046	519
668	1047	518
669	1048	516
670	1050	514
671	1051	513
672	1053	511
673	1054	510
674	1056	508
675	1057	506
676	1061	506
677	1063	504
678	1064	503
679	1066	501
680	1067	500
681	1069	498
